,times,size
0,2.709480047225952,83414999
1,2.6819891929626465,83809703
2,2.6520071029663086,83458343
3,2.7031238079071045,83354375
4,2.6581099033355713,83496215
5,2.6578879356384277,83316071
6,2.6679611206054688,83085095
7,2.657366991043091,83042327
8,2.6536707878112793,83344007
9,2.679612874984741,83264807
10,2.646052122116089,83380295
11,2.634320020675659,83369495
12,2.707763195037842,83377991
13,2.6654207706451416,83167751
14,2.6717560291290283,83570951
15,2.662208080291748,83307575
16,2.6492538452148438,83582759
17,2.650402069091797,83680823
18,2.662346124649048,83260487
19,2.648153066635132,83271863
20,2.703122138977051,83555399
21,2.6583571434020996,83403911
22,2.6504011154174805,83486279
23,2.658188581466675,83234567
24,2.6528780460357666,83492039
