times,size
20.21284508705139,98435312
20.37521982192993,97147312
20.11308002471924,96363312
20.16379189491272,97931312
20.296699047088623,99891312
20.284591913223267,96307312
20.16997790336609,96867312
20.74549412727356,96615312
20.072109937667847,97091312
19.646061897277832,98659312
19.804774045944214,97203312
19.721702814102173,98911312
19.655577898025513,97903312
19.753541946411133,98603312
19.64841604232788,99415312
19.7102689743042,98155312
19.6657931804657,99555312
19.64539408683777,97931312
19.62713599205017,101011312
19.652472019195557,96083312
19.689450979232788,98967312
19.59689688682556,98099312
19.57540798187256,100731312
19.61245584487915,96671312
19.583765029907227,100227312
