,times,size
0,7.84978985786438,120342160
1,7.824023723602295,120366224
2,7.794188022613525,120328720
3,7.805665016174316,120415376
4,7.814967632293701,120331792
5,7.801809072494507,120266384
6,7.79089093208313,120361616
7,7.772924900054932,120399248
8,7.806150913238525,120397328
9,7.802906274795532,120362896
10,7.779996871948242,120397712
11,7.784116983413696,120401168
12,7.791011095046997,120415504
13,7.796644687652588,120286864
14,7.805805206298828,120386832
15,7.780793905258179,120455568
16,7.792211055755615,120342544
17,7.808246850967407,120379024
18,7.7718000411987305,120338832
19,7.8101091384887695,120451216
20,7.791237115859985,120392720
21,7.78949236869812,120334608
22,7.796037912368774,120351376
23,7.805840015411377,120344720
24,7.778375864028931,120378000
