times,size
28.63751196861267,168828808
28.303056955337524,168956808
27.712743997573853,168988808
27.863011837005615,168444808
27.666038036346436,169308808
27.737921953201294,169148808
27.77128505706787,168988808
27.89268398284912,169628808
27.59790015220642,168732808
28.122145891189575,168828808
27.72274398803711,168956808
27.73391103744507,169532808
27.737562894821167,169148808
28.10679006576538,169052808
27.492735862731934,168892808
27.587323904037476,168988808
27.697412967681885,169052808
27.674745082855225,169180808
27.4995059967041,169372808
27.805179834365845,169020808
27.62462282180786,168860808
27.591479063034058,168860808
27.69910502433777,168796808
27.60043501853943,168924808
27.71183705329895,169980808
